Date,open,high,low,close,Adj Close,Volume,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend
2018-01-02,1053.02002,1075.97998,1053.02002,1073.209961,1073.209961,1588300,1073.209961,[],None,0.8793543629866938,0.12064563701330625,0.0,,0
2018-01-03,1073.930054,1096.099976,1073.430054,1091.52002,1091.52002,1565900,1091.52002,[],None,0.7759164764660403,0.20202786758595948,0.022055655948000134,,0
2018-01-04,1097.089966,1104.079956,1094.26001,1095.76001,1095.76001,1302600,1095.76001,['shooting star'],None,0.13543414597188502,0.7118155232218164,0.15275033080629863,,0
2018-01-05,1103.449951,1113.579956,1101.800049,1110.290039,1110.290039,1512500,1110.290039,[],None,0.5806572157148497,0.27928208601307575,0.14006069827207446,,0
2018-01-08,1111.0,1119.160034,1110.0,1114.209961,1114.209961,1232200,1114.209961,['inverse hammer'],None,0.35043112285391326,0.5403989766850186,0.10916990046106821,,0
2018-01-09,1118.439941,1118.439941,1108.199951,1112.790039,1112.790039,1340400,1112.790039,[],None,0.551748781004678,0.0,0.44825121899532205,,0
2018-01-10,1107.0,1112.780029,1103.97998,1110.140015,1110.140015,1036700,1110.140015,[],None,0.3568178995366922,0.2999999204549976,0.34318218000831024,,0
2018-01-11,1112.310059,1114.849976,1106.47998,1112.050049,1112.050049,1121200,1112.050049,[],None,0.03106453097468251,0.30345498372999097,0.6654804852953266,,0
2018-01-12,1110.099976,1131.300049,1108.01001,1130.650024,1130.650024,1929300,1130.650024,['bullish engulfing'],None,0.882353524611963,0.027910000494199033,0.08973647489383792,,0
2018-01-16,1140.310059,1148.880005,1126.660034,1130.699951,1130.699951,1823100,1130.699951,[],None,0.43249867427819144,0.3856866419852698,0.18181468373653872,,0
2018-01-17,1136.359985,1139.319946,1123.48999,1139.099976,1139.099976,1391500,1139.099976,"['hammer', 'bullish harami']",None,0.17308898394916017,0.01389580615385807,0.8130152098969817,,0
2018-01-18,1139.349976,1140.589966,1124.459961,1135.969971,1135.969971,1374900,1135.969971,"['hanging man', 'dark cloud cover', 'bearish engulfing']",None,0.20954767217988998,0.07687474368421061,0.7135775841358994,,0
2018-01-19,1138.030029,1143.780029,1132.5,1143.5,1143.5,1527600,1143.5,[],None,0.4849252603871834,0.02482520213378998,0.49024953747902655,,0
2018-01-22,1143.819946,1166.880005,1141.819946,1164.160034,1164.160034,1477500,1164.160034,[],None,0.8116536357715677,0.10853809242827388,0.07980827180015845,,0
2018-01-23,1170.619995,1178.51001,1167.25,1176.170044,1176.170044,1956900,1176.170044,['three white soldiers'],None,0.49289911820681875,0.2078120712148578,0.2992888105783234,,0
2018-01-24,1184.97998,1187.050049,1167.400024,1171.290039,1171.290039,1856400,1171.290039,['dark cloud cover'],None,0.6966882230429808,0.1053468888716368,0.19796488808538235,,0
2018-01-25,1180.709961,1185.0,1171.839966,1182.140015,1182.140015,1499200,1182.140015,['bullish harami'],None,0.10866643657607022,0.2173235266717436,0.6740100367521862,,0
2018-01-26,1187.530029,1187.560059,1168.030029,1187.560059,1187.560059,2108500,1187.560059,['doji'],None,0.0015376320466428946,0.0,0.9984623679533571,,0
2018-01-29,1188.0,1198.0,1184.060059,1186.47998,1186.47998,1574700,1186.47998,"['shooting star', 'bearish engulfing']",None,0.10904063367269069,0.7173631509631164,0.17359621536419292,,0
2018-01-30,1177.719971,1187.930054,1174.51001,1177.369995,1177.369995,1866900,1177.369995,[],None,0.026078603020971515,0.7608084593463307,0.21311293763269776,1137.2530091,0
2018-01-31,1183.810059,1186.319946,1172.099976,1182.219971,1182.219971,1801100,1182.219971,['hanging man'],None,0.11182077036730119,0.17650438081094014,0.7116748488217587,1142.7035096,0
2018-02-01,1175.98999,1187.449951,1169.359985,1181.589966,1181.589966,3675700,1181.589966,[],None,0.30956254975824543,0.32393565582157813,0.36650179442017644,1147.2070069,0
2018-02-02,1127.420044,1131.300049,1111.170044,1119.199951,1119.199951,5892100,1119.199951,[],None,0.4083502711499532,0.19274734407666497,0.39890238477338186,1148.37900395,0
2018-02-05,1100.609985,1114.98999,1056.73999,1062.390015,1062.390015,4177500,1062.390015,[],None,0.6561368240343365,0.24686703862660914,0.09699613733905432,1145.98400275,0
2018-02-06,1033.97998,1087.380005,1030.01001,1084.430054,1084.430054,3831500,1084.430054,['piercing line'],None,0.8793808331341121,0.05141975347914977,0.06919941338673817,1144.4950074,0
2018-02-07,1084.969971,1086.530029,1054.619995,1055.410034,1055.410034,2597100,1055.410034,[],None,0.9263524131625805,0.04888926160342,0.024758325233999404,1141.62600715,0
2018-02-08,1059.869995,1063.930054,1004.7000119999999,1007.7100220000001,1007.7100220000001,3339600,1007.7100220000001,[],None,0.8806337331315737,0.06854729226766222,0.050818974600764115,1136.5045075,0
2018-02-09,1025.880005,1051.719971,997.0,1046.27002,1046.27002,4918000,1046.27002,"['hammer', 'bullish harami']",None,0.3726247406088712,0.09959711053209544,0.5277781488590334,1133.21550605,0
2018-02-12,1056.670044,1065.569946,1045.48999,1054.560059,1054.560059,2812000,1054.560059,[],None,0.10507916451609992,0.44322318236155966,0.45169765312234045,1129.4110077999999,0
2018-02-13,1050.0,1061.219971,1046.920044,1054.140015,1054.140015,1579300,1054.140015,[],None,0.28951301639511456,0.49510434563757044,0.215382637967315,1125.5830110000002,0
2018-02-14,1054.319946,1075.469971,1049.800049,1072.699951,1072.699951,2065200,1072.699951,[],None,0.716013278108128,0.10790917089658188,0.17607755099529016,1122.26300975,0
2018-02-15,1083.449951,1094.099976,1067.22998,1091.359985,1091.359985,1869800,1091.359985,"['hammer', 'three white soldiers']",None,0.294381659007319,0.1019721402265906,0.6036462007660904,1120.03251045,0
2018-02-16,1093.380005,1108.310059,1091.550049,1095.5,1095.5,1997400,1095.5,"['inverse hammer', 'three white soldiers']",None,0.12649127297656873,0.7643228733157043,0.10918585370772703,1117.63251045,0
2018-02-20,1092.76001,1116.290039,1090.0,1103.589966,1103.589966,1687700,1103.589966,['three white soldiers'],None,0.41194142009450985,0.4830754720447537,0.10498310786073645,1114.6040070499998,0
2018-02-21,1109.099976,1136.199951,1107.51001,1113.75,1113.75,2074300,1113.75,"['inverse hammer', 'three white soldiers']",None,0.16207854871503624,0.7825025154286649,0.05541893585629887,1111.48300485,0
2018-02-22,1119.170044,1125.459961,1105.150024,1109.900024,1109.900024,1400500,1109.900024,['dark cloud cover'],None,0.45642780674307043,0.3096965293393112,0.23387566391761835,1108.4135041,0
2018-02-23,1118.660034,1129.0,1108.439941,1128.089966,1128.089966,1264600,1128.089966,[],None,0.4586529639822556,0.044262227068511815,0.4970848089492326,1105.7110016499998,0
2018-02-26,1131.859985,1144.199951,1129.339966,1143.699951,1143.699951,1545600,1143.699951,[],None,0.7967683682049452,0.03364740946912115,0.16958422232593362,1103.51799625,0
2018-02-27,1143.699951,1144.25,1116.790039,1117.51001,1117.51001,2148200,1117.51001,['bearish engulfing'],None,0.9537501163967447,0.020030946147372317,0.026218937455882996,1100.0694977499998,0
2018-02-28,1122.0,1127.650024,1103.0,1103.920044,1103.920044,2464600,1103.920044,[],None,0.7334660607227002,0.22920967541451576,0.03732426386278409,1096.3970001999996,0
2018-03-01,1109.540039,1111.27002,1067.290039,1071.410034,1071.410034,2766900,1071.410034,['three black crows'],None,0.8669854814171025,0.03933564682531251,0.09367887175758492,1090.8565033499997,0
2018-03-02,1057.97998,1086.890015,1050.109985,1084.140015,1084.140015,2508100,1084.140015,[],None,0.711256488915315,0.074768835153207,0.213974675931478,1085.9840057999997,0
2018-03-05,1078.130005,1101.180054,1072.27002,1094.76001,1094.76001,1432400,1094.76001,[],None,0.5752329796637384,0.22206974920887199,0.2026972711273896,1084.7620087499997,0
2018-03-06,1102.099976,1105.630005,1094.5,1100.900024,1100.900024,1169100,1100.900024,[],None,0.10781235048860635,0.31716328968405844,0.5750243598273352,1086.6875091999996,0
2018-03-07,1092.819946,1116.199951,1089.910034,1115.040039,1115.040039,1537400,1115.040039,"['bullish engulfing', 'piercing line']",None,0.8451944903439541,0.04412003278671721,0.11068547686932866,1088.2180084499996,0
2018-03-08,1117.199951,1131.439941,1117.199951,1129.380005,1129.380005,1693100,1129.380005,[],None,0.8553414714476554,0.14465852855234462,0.0,1091.9165069999995,0
2018-03-09,1139.5,1161.0,1134.290039,1160.839966,1160.839966,2133100,1160.839966,['three white soldiers'],None,0.7989515971213881,0.005991547497953886,0.19505685538065806,1099.5730041999996,0
2018-03-12,1165.050049,1178.160034,1159.199951,1165.930054,1165.930054,2215300,1165.930054,[],None,0.04641356264104886,0.6450383154968312,0.3085481218621199,1105.5560058999995,0
2018-03-13,1171.829956,1178.0,1134.569946,1139.910034,1139.910034,2157000,1139.910034,['bearish engulfing'],None,0.7349731133191797,0.14206853162098237,0.12295835505983788,1109.8235046499997,0
2018-03-14,1145.800049,1159.76001,1142.349976,1148.890015,1148.890015,2093500,1148.890015,"['inverse hammer', 'bullish harami']",None,0.1774819049750279,0.6243523131545877,0.1981657818703844,1114.5610046499996,0
2018-03-15,1149.569946,1162.5,1135.660034,1150.609985,1150.609985,1669100,1150.609985,[],None,0.038749639250659954,0.44299664910156544,0.5182537116477746,1118.4565063499997,0
2018-03-16,1155.349976,1156.810059,1131.359985,1134.420044,1134.420044,2932800,1134.420044,['bearish engulfing'],None,0.8223917934384051,0.05737048151608316,0.12023772504551174,1120.6095092999997,0
2018-03-19,1117.76001,1119.369995,1088.920044,1100.069946,1100.069946,3182800,1100.069946,[],None,0.5809554176294031,0.052873155690794,0.3661714266798029,1120.8380065999995,1
2018-03-20,1098.400024,1105.550049,1082.420044,1095.800049,1095.800049,2729900,1095.800049,['three black crows'],sell,0.11240702282598243,0.3091233659482529,0.5784696112257647,1120.4485107499997,1
2018-03-21,1092.569946,1108.699951,1087.209961,1094.0,1094.0,2244900,1094.0,[],None,0.06654512170549753,0.6840371261224427,0.24941775217205978,1119.4610107499998,1
2018-03-22,1080.01001,1083.920044,1049.640015,1053.150024,1053.150024,3465600,1053.150024,[],None,0.7835461866149508,0.11406157211827314,0.10239224126677607,1116.6235107499997,1
2018-03-23,1051.369995,1066.780029,1024.869995,1026.550049,1026.550049,2494000,1026.550049,[],None,0.5922196579463542,0.3676931877459226,0.04008715430772324,1111.5465148999997,1
2018-03-26,1050.599976,1059.27002,1010.580017,1054.089966,1054.089966,3299200,1054.089966,[],None,0.07167775282330624,0.10638845103377657,0.8219337961429172,1107.0660156499998,1
2018-03-27,1063.900024,1064.540039,997.6199949999999,1006.9400019999999,1006.9400019999999,3040800,1006.9400019999999,"['dark cloud cover', 'bearish engulfing']",sell,0.8511653399391075,0.009563875959196139,0.13927078410169638,1101.5375152499996,1
2018-03-28,1001.909973,1024.98999,984.0,1005.179993,1005.179993,3884900,1005.179993,[],None,0.07977606239962313,0.4832886516927682,0.4369352859076087,1096.6005126999999,1
2018-03-29,1011.2100220000001,1048.050049,1004.0399779999999,1037.140015,1037.140015,3466900,1037.140015,[],None,0.5891831667347193,0.24789857757784545,0.16291825568743534,1094.8870117499998,1
2018-04-02,1027.619995,1039.530029,994.25,1012.6300050000001,1012.6300050000001,3253400,1012.6300050000001,['bearish harami'],None,0.33105080387647096,0.26303061775865894,0.4059185783648701,1091.3115112499997,1
2018-04-03,1016.150024,1025.0,997.25,1018.679993,1018.679993,2566100,1018.679993,['bullish harami'],buy,0.09117005405405179,0.22774800000000117,0.6810819459459471,1087.5075104,1
