Date,open,high,low,close,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend,open_norm,high_norm,low_norm,close_norm
2000-01-03,17057.699219,17426.160156,17057.699219,17369.630859,17369.630859,[],None,0.8465799455967827,0.1534200544032173,0.0,,0,0.3484689196601059,0.3590538294604908,0.3552114427212537,0.3621168227625118
2000-01-04,17303.0,17303.0,16933.519531,17072.820313,17072.820313,['bearish harami'],None,0.6229820147814117,0.0,0.37701798521858837,,0,0.35828727760450635,0.3541379349775545,0.3501563304086548,0.35012210824837064
2000-01-05,16608.550781,16608.550781,15688.490234,15846.719727000002,15846.719727000002,[],None,0.8280227388122093,0.0,0.1719772611877907,,0,0.3304913978745054,0.3264192376712487,0.2994736219063494,0.3005729035691975
2000-01-06,15942.070313,15971.030272999998,14763.969727000002,15153.230469,15153.230469,['three black crows'],None,0.6535213553405316,0.02399213535391156,0.3224865093055569,,0,0.30381498954388736,0.3009728299220097,0.26183819961260046,0.27254759995234557
2000-01-07,15329.339844,15513.889647999998,15108.75,15405.629883000001,15405.629883000001,['bullish harami'],None,0.18830553705768543,0.26721592303895536,0.5444785399033593,,0,0.2792899674727903,0.2827262220144695,0.27587353044048546,0.28274757079322854
2000-01-10,15631.0,16065.089844,15631.0,15848.150391,15848.150391,[],None,0.5002429658317442,0.4997570341682558,0.0,,0,0.2913641540167445,0.30472718474879523,0.2971333068803719,0.30063071959520093
2000-01-11,15981.129883000001,16196.089844,15736.169922,15862.099609,15862.099609,[],None,0.2588065189313552,0.46738562675264633,0.27380785431599847,,0,0.30537837975345367,0.30995600385864297,0.30141456878543704,0.30119443570926896
2000-01-12,15691.730469,15744.040038999998,15545.669922,15714.200195,15714.200195,['hammer'],None,0.11327172832185967,0.1504250965380964,0.736303175140044,,0,0.2937949391138915,0.29191259424805527,0.29365968623532057,0.29521752123757505
2000-01-13,15763.259766,15861.169922,15458.629883000001,15633.959961000002,15633.959961000002,"['dark cloud cover', 'bearish engulfing']",None,0.3212097989586513,0.24323085038504821,0.43555935065630047,,0,0.296657955850301,0.29658779249664036,0.29011645642113393,0.2919748510819875
2000-01-14,15741.540038999998,15863.480469,15322.19043,15542.230469,15542.230469,[],None,0.3682121517850392,0.22527743208664974,0.40651041612831107,,0,0.2957886065833671,0.29668001717074577,0.28456227304466597,0.28826787677162313
2000-01-17,15666.05957,15827.509766,15474.389647999998,15574.55957,15574.55957,['three black crows'],None,0.25911862659719603,0.457210415861946,0.2836709575408579,,0,0.2927674410598328,0.29524425916127195,0.29075800564209153,0.28957436113418966
2000-01-18,15575.679688,15801.070313,15508.080078,15789.200195,15789.200195,[],None,0.7287632197025262,0.040513698349027766,0.23072308194844604,,0,0.2891499147363082,0.2941889376566894,0.29212947717864235,0.29824842293794984
2000-01-19,15719.040038999998,15719.040038999998,15192.280272999998,15275.339844,15275.339844,[],None,0.8423198270613521,0.0,0.15768017293864794,,0,0.29488802627192884,0.29091472800571794,0.2792738845428171,0.27748228678326836
2000-01-20,15347.700195,15347.700195,15078.030272999998,15215.30957,15215.30957,[],None,0.49093582264617386,0.0,0.5090641773538261,,0,0.2800248550559767,0.2760928282152211,0.2746229904149913,0.2750563419893941
2000-01-21,15094.900391,15120.360352000002,14903.700195,15108.410156,15108.410156,[],None,0.062354634959488967,0.05515640792229964,0.8824889571182114,,0,0.2699063427796286,0.26701863802050196,0.26752635377539735,0.2707363204472385
2000-01-24,15233.790038999998,15413.75,15020.169922,15167.549805,15167.549805,[],None,0.16830179600705553,0.4572384911209909,0.3744597128719536,,0,0.2754655108885787,0.27872918304411964,0.272267608649566,0.27312627328342076
